Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Proper electric supply to municipal properties,Dear Sir/Mam  I understand that even you might have come across many instances of street dog bites there are people still suffering from such dog bites which are very harmfull and dangerous please pick such animals as they are growing tremendously please follow up on my request. Thank you,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Collection point not attended properly,I suppose the whole of the city can have markers to locate my complaint. There is no proper place to dump the garbage in any locality. Of course we have persons to collect the garbage from every house but they do not have a proper place to converge and dispose. I would like to know why the BBMP is not stirctly enforcing the segregation of waste generated at source. This can reduce so much of garbage on the roads and also reduce the need for so much of landfills. Please be considerate.,Collection point not attended properly,Silt to be lifted on road,Garbage not lifted from co-authorised collection point
Unauthorised Food Selling   Preparation,The drains in the LB Shastrinagar Area are mostly overflowing (Specially in 2nd Cross and 3rd Main Area) with the dirt and Garbage and cleaned very irregularly. This is a big threat to the people staying this area. The situation is even worse since the digging has started for the Sweage as a lot of mud is going and choking the drains. BBMP need to get these cleaned regularly else it can lead to some epidemic in the area.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Online Renewal Application,"I submitted my application for Ration Card at the Basham Circle office  along with Surrender Certificate from Pune  on July 15  2011  Online application on 1st day of registration Nov 19  2011  a reminder mail regarding our status on May 1  2012 being \""Please wait for field verification\""  and a request mail regarding further action to be taken when the status suddenly changed to \""..App no. 102920 .. verified and rejected due to : Wrong Address/Member details\""  but without any response whatsoever",Online Renewal Application,Person falling in Manhole,Issue of Birth   Death Certificate
Proper electric supply to municipal properties,Issue with Street Dogs and Street Lights very much troubling us in this area  Can you please help in this regard. Regards  Malla Reddy,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Garbage not lifted from co-authorised collection point,From past two weeks garbage is being dumped near our house and the concerned people are not bothered to clear the same. Now its starting to stink and is becoming a health hazard.\nKINDLY ARRANGE TO CLEAR UP THE SAME AT THE EARLIEST!!!,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Sweeping of road
Garbage not lifted from house gully,Garbage dump. Ever-existing.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Drainage chokes and blockages,Drainage waste has not been cleared from the road. Its the 4th day now.,Drainage chokes and blockages,Overflowing drains or manholes,Odour  foul smell  from drains
Minor repairs to municipal property,Want more number of buses from electronic city towards marathalli side,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Providing removing replacing dustbins,In spite of posting a compliant no improvement has happened on garbage collection in ward no 25 Andhra munireddy layout  Meghanapalya  Chelekere  Kalyanagar post . Earlier garbage used to be collected on alternate days now it is collected once in 3-5 days. Though we spoke to BBMP officer as per your SMS situation remains the same and for coming once in a week they expect us to segregate waste. We are forced to keep garbage at home for 5 days \n\nI,Providing removing replacing dustbins,Removal of Debris,Collection point not attended properly
Minor repairs to municipal property,Poor drainage causing swamp and drain water overflowing on the main footpath. Have been there since months and its just a matter of time that someone gets seriously hurt,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Bad Patches,We understood that everyday we are supposed to post a complaint against BESCOM till they are 100% at their power supply. \n\nWe lose our temper when in hot summer there is a power cut !\n\nBescom don\'t call me back just fix your issue of powercuts on hot summer and during rainy days. Its 2015 whole world is advanced when will you ?,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property
Bad Patches,Respected Sri Vijaya Kumar \nThis is to highlight the fact that even around your office in 4th T Block  the cleanliness of the streets and collection of garbage is very poor. Please take a look next to the temple behind your office and see the permanent garbage pile which stinks nonstop. Please see how garbage is merely swept up into piles all over 33-36 Cross / 22nd - 18th Main areas (all around your office) instead of being collected by the sweepers and by the garbage autos. This is prime area with judges  senior executives  industrialists etc staying here (although everyone has the right to a clean street!) Trust you will have the concerned people from BVG India do  their job properly. In order to avoid harassment by BBMP workers I have not provided my actual mobile number. Thank you.\n-Shankar,Bad Patches,Person falling in Manhole,Odour  foul smell  from drains
Bad Patches,The traffic along 24th main road from Marenahalli signal lights upto brigade millennium has increased to such an extent that it is difficult to cross the road for pedestrians. They are at risk of getting hit by vehicles. Moreover  the traffic is completely indisciplined and the lack of a divider causes more chaos. The BBMP should look into the matter and install a road divider at the earliest to facilitate easy movement of traffic and prevent pedestrians getting caught while trying to cross the road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised construction development
Bad Patches,The service road condition is pathetic from Sarjapur road junction to Belandur signal (central mall side). They dig up the road for pipeline but never bothered to make it in previous condition. Actually there is no road at all and we the commuters feel the maximum pain while traveling in this road.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
"Unauthorised stalls on roads, footpath or SWD drain",No proper roads and footpath   people  children and old people are not able to walk on street,"Unauthorised stalls on roads, footpath or SWD drain",Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches
Bad Patches,Road from Hennagara to kithaginahalli is in worst condition from last 3 years. Road is full of manholes which become deadly during rain. Nobody has taken steps to fill these manholes permanently. twice a year these manholes are used to filled with muddy soil and small stones  which makes these holes more deadly.\nKindly do something.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Garbage not lifted from house gully,Hello Sir \non T C Pallya Road  19th Cross   people staying nearby are throwing garbage on the road. \nCan you please put a board saying if caught throwing garbage a huge fine will be imposed.\nPeople use the corner as if its a Garbage dump yard. \n\nIf Police can help for few days in catching few people throwing garbage late night and early mornings for a week and impose fine people will be scared and may improve.\n\nThanks for your time.\n\nRegards \nRaji,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Sweeping of road
Bad Patches,Aishwerya School in Meanne Avenue ( Tank Road ) near Ulsoor Lake has nailed huge metal advertisement  boards on almost all trees in St. Johns Church Road  Coles Road  Promenade Road and St. Johns Road. one is not able to remove the sign boards as they have used heavy duty metal screws. These will definitely kill the trees. Recently  a young tree fell down in front of HDFC Bank  Ulsoor. The school authorities must be asked to remove all the sign boards and also be fined for causing damage to public property,Bad Patches,Bad patches potholes on roads,Repairs re-surfacing of roads footpaths
Proper electric supply to municipal properties,At the entrance of Jain Temple Street from Dr A.N.Krishna Rao road  the street light installed is of a old model one which has stopped working and is causing inconvenience to the public in the night.  I request the appropriate authority to take this seriously and install a new street light of LED with a proper switch to operate the same.  Hope my request will be obliged at the earliest.,Proper electric supply to municipal properties,Minor repairs to municipal property,Drainage chokes and blockages
Unauthorised Food Selling   Preparation,Today  Reliance Communication Contractors have started digging St. Johns Church Road  near Lake Side Hospital and HDFC Bank Ulsoor. This is the third time they are digging this road in the last 3 months. When we demanded the permit  they showed a permit which only gives permission from Kensington Road to Venkatachalam Circle. Because there is no supervision from BBMp  these companies are misusing the permits. The contractor\'s representative refused to give a copy of the permit. A traffic constable was a mute spectator to this .,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,In kavery nagar Near bharath gas office there is waste land and most of the people dispose their garbage. And it remains uncleared and it should get clear.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from house gully,HI \nThe entire pipe line has become like garbage house  entire stretch where pipe line is there in kumaraswamy layout (near 15 E bus stop).After the bus stop if you come inside and see the pipe line  its full of garbage  please free pipeline from the garbage and take necessary action that people shouldn\'t thrown garbage in the future.,Garbage not lifted from house gully,Providing removing replacing dustbins,Removal of Debris
Unauthorised Food Selling   Preparation,On Richmond Road  especially nearer to Richmond Road flyover  there is one way traffic and there is vehicular traffic at all times. Crossing the road is dangerous and aged pedestrains just cannot cross the road as there is no place to cross safely.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,On Richmond Road  at the corner of the road adjacent to HDFC Bank building  the drain is covered with a mangled metal mesh. The mesh covering is dangerous and there is a chance that if the mesh gives way  pedestrains/two wheelers may plunge into the drain 8 ft below.,Drainage chokes and blockages,"Removal of silt from nalla across culverts, etc.",Mosquito nuisance
Mosquito nuisance,We have 3 dogs in big and 2 small dogs. one of the small dog looks to be mad dog. want to know whether that dog can be moved from that place.,Mosquito nuisance,Municipal Land - Road   Footpath   Strom Water Drain,Protection of municipal play grounds gardens
Contaminated water supply,There is no water supply at cauvery nagar  19/1  7 th B cross ....please see about it every citizen of this street facing water problem ...,Contaminated water supply,Pre-monsoon works halted,Shortage of water supply
Bad Patches,I am not getting enough water for the past two months. I always end up buying can water almost every week. Water come once in a week and sine the water pressure is very low  i hardly get any supply.,Bad Patches,Contaminated water supply,Drainage chokes and blockages
Bad Patches,The whole road is there to break our back!!! So many potholes n humps in bad shape.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Bad Patches,New road was laid yesterday and today mrng there is a big hole out there. This is more of a manhole than pot hole.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Sweeping of road,There is lot of garbage thrown by the road side of the area (near by Bakery) its been a very long time bbmp workers clearing it   as the result its causing air pollution etc . so plz do the needful urgently.,Sweeping of road,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point
Minor repairs to municipal property,Pls do it fast,Minor repairs to municipal property,Running without licence,Issue of Birth   Death Certificate
Unauthorised Food Selling   Preparation,The speed bumps here aren\'t painted and are totally invisible (I\'m not exaggerating) even in daylight  also at night since the streetlights aren\'t turned on either! painting them will help prevent accidents which happen way too often around here  even pedestrians trip over the speed bump (yeah  they do..really)!,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,We have stray dogs which threatens people and little children. Kindly help by taking them in your custody,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,Non attendant of Nuisance Detector
Unauthorised Food Selling   Preparation,Mosquitos are a big issue in and around koshys hospital during night times.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from house gully,Request posters on garbage segregation for display in apartment.  Where I can get them? ,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
"Removal of silt from nalla across culverts, etc.",Storm water drain is filled with garbage and everyone is throwing garbage into the storm water drain and it is getting choked. Please get it cleaned. Also a portion of storm water drain has been blocked water construction and half the drain is blocked with mud. But work is not happening from the past one month. Please look into the issue,"Removal of silt from nalla across culverts, etc.",Garbage not lifted from house gully,Providing removing replacing dustbins
Collection point not attended properly,BBMP is not collecting garbage from Naveen Terraces apartment. So we need to pay heavy charges for the Private company to collect the Garbage.  Can you please ensure that BBMP collects garbage from the apartment,Collection point not attended properly,Pollution due to chemical effluents,Person falling in Manhole
Collection point not attended properly,BBMP is not collecting garbage from Naveen Terraces apartment. So we need to pay heavy charges for the Private company to collect the Garbage.  Can you please ensure that BBMP collects garbage from the apartment,Collection point not attended properly,Pollution due to chemical effluents,Person falling in Manhole
Bad Patches,In every bus stop it is a very common issue that when a bus stops for passengers to board or alight a bunch of bikers and a couple of autos squeeze themselves between the passengers and buses making it dangerous for the passengers to embark/dis-embark from the buses. \n\nThey try to avoid the traffic by taking a ride on the safety of passengers. I think a conscious effort in close companionship of BMTC  BTP and civic agencies only  this can be tackled.,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Bad Patches,Most of the private bus companies stop for a long time near the bus stops causing the following issues:\n\n1) BMTC unable to stand and hence park at a distance front or back of the bus stop.\n\n2) New commuters in the upcoming bus not able to see the place name on the bus stop.\n\n3) Passengers waiting for buses not able to comfortably manueaveur through the traffic when a private bus is parked near the bus stop.\n\nPlaces where this issue is spotted:\n\n1) Hosur Road (from Roopena Agrahara to Electronic City)\n2) Madivala\n3) Chamarajpet\n4) Christ College,Bad Patches,Minor repairs to municipal property,Municipal Land - Road   Footpath   Strom Water Drain
Running without licence,Past 2 months   power outages are crazy... Power cut is understood. 2-3 hrs a day. but this is crazy. We\'re being given power 19 mins between cuts. This will spoil all appliances at home. Especially washing machines which come to abrupt stop during spinning. \n1-2 days such problem exists  it can be taken as maintenance issue. But for months together...this is INTOLERANCE.\n BESCOM should pull it\'s socks up and entrust work to knowledgeable people and resolve.,Running without licence,Trade without License,Person falling in Manhole
Bad Patches,Please install height barrier at one end of the road to restrict HTV vehicles from entering peaceful residential area,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Burning of garbage in open in nagvarpalya lanes and near indiranagar basket ball club,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Garbage not lifted from co-authorised collection point,Garbage gets pick up only upon payment,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Sweeping of road,The open land which is located near Domulur bridge has become a dumpyard.,Sweeping of road,Removal of Debris,Garbage not lifted from co-authorised collection point
Unauthorised Food Selling   Preparation,In Chandra layout 1st stage  we have lot of problems from Dogs. There will be group of dogs which will attack people going in two wheeler & four wheeler  they will start barking and jumping on vehicle that is too scare people will fall/meet accidents. This problem mainly near siddhaganga school / chandragiri park  14th  Cross & 12th Cross.\n\nKindly address this issue and help people to walk or travel on road safely.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,The Bwssb has a pressure monitoring pipe that has been installed very near my compound wall. The pipe is always leaking which is also weakening the wall due to the continuous moisture. Every time the staff come and open the valve water at high pressure gushes into my house spraying water all over. This is becoming a nuisance and the BWSSB has to shift this pipe from near my compound wall.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from co-authorised collection point,Massive garbage is piling up next to LaCa Sa in n the open site belonging to BREN. Pigs are running free and causing massive health problem. drain is filled with garbage and water overflows on road,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Bad Patches,In this 200m stretch of the road  only half of the road is remaining as the other half is completely digged and destroyed by one of the govt departments (most probably BWSSB  not sure). The stretch is so horrible that in the destroyed half of the road  there are potholes which can completely swallow the tyres of two-wheelers making it very dangerous for them. Other than that  here all the traffic (both directions) try to occupy the better side of the road  hence resulting in serious traffic jam.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Bad Patches,Every cross roads in Munnekolala - Marathahalli-Ayyappa Layout area are fully worse that driving vehicles is a huge pain that affects health of drivers and vehicles as well.. That too when it rains  the roads become too slippery and no assurance whether people will reach destination safe. Roads should be revamped for healthy living..,Bad Patches,"Unauthorised stalls on roads, footpath or SWD drain",Person falling in Manhole
Minor repairs to municipal property,Most of the time we are facing blockage in our street  we feel that due to low leveling of pipe in our street and that could be the reason it is reversing to our chambers. We request your good office to look in for permanent solution.,Minor repairs to municipal property,Drainage chokes and blockages,Bad Patches
Bad Patches,From btm to silk board traffic is more \nIn peak hours it takes 1hr to reach from btm to silkboard I losing my time  \nVia b tm silkboard.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,Being custodian of traffic rules  police themselves violate them and bombard if anyone asks them. they should be fined double if they don\'t follow rules but only enforce on public.,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,Private Land   Building   Society   Factories
Minor repairs to municipal property,Too many potholes & roads dug up for some bbmp work is not cleaned and closed after completion.,Minor repairs to municipal property,Person falling in Manhole,Hawkers
Unauthorised Food Selling   Preparation,No Bus Shelter on both sides in Kuvempu Circle(Lottegolahalli). It is very difficult for public to stand in open during rainy seasons.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,There is a sewage chamber in front of our house on the road  and a water storm drain next to it. Since it is a mud road many holes have formed near the chamber and sides of storm water drain. Rodents will be coming and going through these holes  and also it has become a breeding place for mosquitoes due to foul smell eminating from here. The chamber may break at any time due to heavy vehicles moving on it. Hence i request the concerned authorities to take action immediately to asphalt the road by filling the (pot)holes. My address  No.10  15th main  Near Yellamma Temple  K.P.Agrahara  Bangalore - 560023.\nPh No: 9900569951.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Minor repairs to municipal property,No Enough Buses available to attibele after 8.30 PM,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Bad Patches,The roads of BEML lay out was digged couple of weeks back for pipeline and its lift unfinished. Now only half of the actual road is road is available for the people which is making very difficult for all. Dust  accidents etc are caused. Kindly help!,Bad Patches,Sweeping of road,Minor repairs to municipal property
Shortage of water supply,"After lodging a compliant thru Janagraha( ref No W06020231) regarding water supply toAmarjyothi lay out on Thanisandra Main Road  we the residents of this lay out approached the local corporator who arranged for sinking a bore at one of the point surveyed earlier.  Unfortunately  even after going to the depth of 1100 feet  the yield is only 1\"" water which no where near the required quantity of water to meet the lay out requirement.  \nSo the boring was stopped. Subsequently one more location in our lay out \n( 1st cross road) where the yield is expected to be more was identified thru survey and we approached our corporator for sinking a bore at the new location. However he expressed inability to take up one more boring due to lack of funds. \nHence we residents of this lay out request BWSSB & other authorities in State Govt.  to come to rescue by sinking a bore at the identified location \n( 1 st cross in our lay out). \n\nRequest concerned authorities to take up the work immediately  to solve our water problems.",Shortage of water supply,Unauthorised use of water-Change of User,Contaminated water supply
Bad Patches,Hi I stay in Arun Residency  Yarandahalli Dennai  Jigani Link Road from past five years. From Arun Residancy to Jigani Link Road its complete Mud road. Cant even walk or take vehicle out. Bikes are all stuck and we need to leave middle the road -cant even walk. One of most bad road in enter world you can find only in this place. Nobody takes call at least we are not asking for tar road  allow us at-least to walk. Politician are visiting only yearly once for vote....you cant imagine how much trouble that all facing  and nobody helps it out..Specially school children have to tie plastic cover in leg and walk.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Garbage not lifted from house gully,There is a regular violation from House No. 829 which dumps garbage regularly to the road.  The tenant of this house is least bothered even though she runs a wellness clinic on residential property.  Not sure who will advise her not to throw waste and create nuisance.  Dried Coconut leaves are put in front of the house as she needs to park her car on the footpath .  Also the house has illegal washing platform adjacent to the compound where all the water is left outside the compound and on the road.   So far there is no action taken even after complaining to the authorities.        Will any of the authorities take care of these violations.   Please let me know whom should i approach to get this sorted out.,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Sweeping of road
Unauthorised Food Selling   Preparation,"There are no Public park and Play ground  allotted from government in Kambipura.\n\ni Request the Government  Authorities to provide \""Public park and Play Ground\"" for Kambipura.",Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Potholes under Domlur fly over,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,Very few Bmtc buses Available in Kambipura. No proper Timings is Followed every day they come late  I have raised this issue in â€œBmtc official web siteâ€ but no use   no changes have been madeâ€¦\n\nI Request to put some extra buses at least during  Morning and Evening Hours Because there are students  and working people who suffers daily due this problemâ€¦,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,Opposite of HDFC Bank Kadugodi we have proper drain and the drain is connected to high drain .\nBut the drain is blocked so dirty water is flowing and bad smell   Dengue mosquito and many more diseases are happening because of that .\n\nKindly do the Proper drainage such that the Area will be pollution free and Germs free .,Municipal Land - Road   Footpath   Strom Water Drain,Unauthorised construction development,Drainage chokes and blockages
Unauthorised Food Selling   Preparation,Beside HDFC Bank Kadugodi we have a nice Govt vacant place .So Karnataka Govt can plan for a Nice Park and Children Play Area .\nIn Whitefield Kadugodi Area we dont have any such park where Senior Citizen can walk   children can play and everyone can relax .\n\nKindly check and do the needful .\n\nThanks in Advance !,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Garbage not lifted from house gully,Daily this is happening .. i want,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Garbage lorry not reported for service
Bad Patches,Dangerous pothole in Aneppa circle  Shanti Layout Junction  TC Palaya main road,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Odour  foul smell  from drains
Minor repairs to municipal property,Complaint About Need more Bmtc buses for bus route number 362K,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Garbage not lifted from house gully,0,Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly
Speed breakers,Kind request to install road humps /speed breakers on the varthur lake road  accident occurred last night killing a two wheeler rider...,Speed breakers,"Providing repairing doors, windows of P.S. Blocks",Removal of rank regulation on roads
Drainage chokes and blockages,Sewage water over flow is causing unbearably nuisance to the residents  in many places of  AECS LAYOUT &quot;A&quot; BLOCK  it is also not being solved after bringing this to the notice of bbmp officers several times.,Drainage chokes and blockages,Overflowing drains or manholes,Flooding during monsoon
Lifting of Tree Cutting,This tree on koramangala - adugodi road has been eaten by termites and can colapse any time soon causing casualties as this is a very busy road with schools nearby.i have given a written complaint to the bbmp in jayanagar. But till today no one has come to attend to it or check the condition of the tree.i have attached the copy  of the complaint,Lifting of Tree Cutting,Sweeping of road,Providing removing replacing dustbins
Bad Patches,The road (4th Main  4th Phase  JP Nagar) was dug up several times by L&T and others but then they did a re-taring which is not gone again. Road needs to be properly laid again. There is huge traffic on this road causing too much dust to residents here (small dust entering house even if the doors and windows are closed). Please take corrective action ASAP.,Bad Patches,"Providing repairing doors, windows of P.S. Blocks",Drainage chokes and blockages
Minor repairs to municipal property,I request BBMP to undertake sterilization program for stray dogs in my area before we see an increase in the number of stray dogs on the street,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,There are many stray dogs that show aggressive behavior towards me and my loved ones whenever we pass by them in my locality. I would like BBMP to look into it before these dogs attack someone!,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Minor repairs to municipal property,There are too many stray dogs in my locality. I would like to bring it to the attention of BBMP.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
Garbage not lifted from co-authorised collection point,We stay in Perody MVB County and there is an open Garbage Dump near the beginning of our road. Here we have people coming and throwing their junk . In addition you have kids from the slums who use for defecation purposes. The garbage attracts dogs which again results in other other issues .\n\nPlease help get it cleaned and probably closed.,Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Garbage lorry not reported for service
Unauthorised Food Selling   Preparation,We stay in Perody MVB County which is behind the Anjaneya Temple. It is filled with dogs and is a mess. At any given point of time in the morning there are about 7 10 aggressive dogs.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The road connecting Hopeform and channasandra is completely broken.\nRecently there was some patchwork done near hopefarm but after Maithriye layout towards channasandra the condition is still bad and gets bad when it rains. Normally also its very dusty and polluted.\n\nThere is even a college on this road  then why is the road not being repaired. \n\nThere is considerable traffic on this stretch and comprises of many trucks and heavy vehicles.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Major repairs to municipal property
Minor repairs to municipal property,There are too many stray dogs in my locality. I would like to bring it to the attention of BBMP.,Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole
